user,wine
682def5f0c7b98e6417cf022,682daf7b49846205368a80cc
682def5f0c7b98e6417cf022,682daf7b49846205368a80cd
682def5f0c7b98e6417cf022,682daf7b49846205368a80ce
682def5f0c7b98e6417cf022,682daf7b49846205368a80d0
682def5f0c7b98e6417cf022,682daf7b49846205368a80d5
682def790c7b98e6417cf025,682daf7b49846205368a80d6
682def790c7b98e6417cf025,682daf7b49846205368a80d9
682def790c7b98e6417cf025,682daf7b49846205368a80e0
682def790c7b98e6417cf025,682daf7b49846205368a80e5
682def790c7b98e6417cf025,682daf7b49846205368a80ec
682e033749846205368a81f6,682daf7b49846205368a80d5
682e033749846205368a81f6,682daf7b49846205368a80e0
682e033749846205368a81f6,682daf7b49846205368a80cc
682e033749846205368a81f6,682daf7b49846205368a80cd
682e033749846205368a81f6,682daf7b49846205368a80ce
682e033749846205368a81f7,682daf7b49846205368a80ce
682e033749846205368a81f7,682daf7b49846205368a80e5
682e033749846205368a81f7,682daf7b49846205368a80ec
682e033749846205368a81f7,682daf7b49846205368a80d0
682e033749846205368a81f7,682daf7b49846205368a80d9
682e033749846205368a81f8,682daf7b49846205368a80cc
682e033749846205368a81f8,682daf7b49846205368a80cd
682e033749846205368a81f8,682daf7b49846205368a80e0
682e033749846205368a81f8,682daf7b49846205368a80e5
682e033749846205368a81f8,682daf7b49846205368a80ec
682e033749846205368a81f9,682daf7b49846205368a80d5
682e033749846205368a81f9,682daf7b49846205368a80d6
682e033749846205368a81f9,682daf7b49846205368a80d9
682e033749846205368a81f9,682daf7b49846205368a80e0
682e033749846205368a81f9,682daf7b49846205368a80e5
682e033749846205368a81fa,682daf7b49846205368a80ec
682e033749846205368a81fa,682daf7b49846205368a80e0
682e033749846205368a81fa,682daf7b49846205368a80cc
682e033749846205368a81fa,682daf7b49846205368a80d9
682e033749846205368a81fa,682daf7b49846205368a80d0
